ticker,entry_date,exit_date,hold_days,hold_return_pct,cut_8pct_hit,cut_8pct_hit_date,cut_8pct_post_cut_return,cut_8pct_better_to_cut,cut_20pct_hit,cut_20pct_hit_date,cut_20pct_post_cut_return,cut_20pct_better_to_cut
TRUMP-USD,2023-12-11,2024-08-15,248,515.2,True,2023-12-27,568.7,False,True,2023-12-27,669.0,False
TRUMP-USD,2025-07-30,2025-11-08,101,-29.35,True,2025-08-02,-23.21,True,True,2025-09-25,-11.69,True
TRX-USD,2021-12-31,2022-01-08,8,-12.83,True,2022-01-07,-5.25,True,False,,,
TRX-USD,2022-06-02,2022-07-27,55,-18.47,True,2022-06-11,-11.38,True,True,2022-06-13,1.91,False
TRX-USD,2022-08-09,2022-08-26,17,-9.97,True,2022-08-26,0.0,True,False,,,
TRX-USD,2023-02-15,2024-06-27,498,72.06,True,2023-03-09,87.02,False,False,,,
TRX-USD,2024-07-14,2025-11-20,494,103.52,True,2024-08-02,121.22,False,False,,,
TRX-USD,2026-04-07,2026-06-15,69,1.45,False,,,,False,,,
XRP-USD,2022-10-23,2022-12-24,62,-24.91,True,2022-11-08,-18.38,True,True,2022-11-09,-6.14,True
XRP-USD,2023-04-04,2023-09-30,179,2.37,True,2023-04-21,11.27,False,False,,,
XRP-USD,2023-11-07,2024-01-30,84,-25.6,True,2023-11-14,-19.13,True,True,2024-01-19,-7.0,True
XRP-USD,2024-03-17,2024-04-30,44,-19.24,True,2024-04-12,-12.22,True,True,2024-04-13,0.94,False
XRP-USD,2024-08-20,2025-05-18,271,309.5,True,2024-09-05,345.11,False,False,,,
XRP-USD,2025-07-22,2025-11-08,109,-35.67,True,2025-07-23,-30.07,True,True,2025-08-02,-19.58,True
ZETA-USD,2024-06-16,2024-06-30,14,-18.8,True,2024-06-17,-11.73,True,True,2024-06-18,1.51,False
ZETA-USD,2024-12-08,2025-01-22,45,-48.27,True,2024-12-09,-43.78,True,True,2024-12-09,-35.34,True
