,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2025-08-01,222661.078125,230577.91645833335,221671.47333333333,230083.1140625,827729,239731.75546875,228632.349375,203973.907578125,-0.09638554446060843,38.80745694118044,-2504.8947254038067,120.66932881661728,-2625.5640542204237,260315.77310293366,239731.75546875,219147.73783456633,0.08534146134326813,38989692,bull,golden_cross
2025-08-04,230083.109375,237010.34277553763,222661.07358870967,223155.87597446237,1276649,238568.96953125,229608.0996875,204305.975625,-0.09179689873091779,45.84667716736229,-2556.7126203467487,-414.80706101605597,-2141.905559330693,258566.02647602526,238568.96953125,218571.91258647476,0.2878222735554303,40266341,bull,golden_cross
2025-08-05,229588.3125,234041.5340786638,226619.49811422414,233546.73168103446,683813,237282.48359375,230575.933125,204605.04171875,-0.10077517292465021,45.47114186988282,-2607.6453358108993,-853.3747159750246,-1754.2706198358746,256078.39614499174,237282.48359375,218486.57104250824,0.29532328976382494,39582528,bull,golden_cross
2025-08-06,226124.6875,234041.52557439826,223650.67560175055,234041.52557439826,1076418,236020.7375,231377.5128125,204882.358203125,-0.10039370262289182,42.82663068503906,-2894.133698800637,-1261.5265125401472,-1632.6071862604897,254246.66695490747,236020.7375,217794.8080450925,0.22851727467497154,38506110,bull,golden_cross
2025-08-07,233051.921875,233051.921875,225629.8861464968,227609.09567409765,1019496,234833.21171875,232400.7640625,205194.310859375,-0.09248555370507339,49.191110978543996,-2533.008919675194,-1515.8229939671567,-1017.1859257080375,250387.3300427109,234833.21171875,219279.09339478912,0.44273896447714556,39525606,bull,golden_cross
2025-08-08,227114.296875,238989.55422794117,226124.69209558825,238494.7518382353,1638049,233670.4265625,233228.07375,205467.220078125,-0.09288534219355349,44.6074343454331,-2694.8668970592553,-1751.6317745855765,-943.2351224736788,247818.22818717395,233670.4265625,219522.62493782607,0.2682986423817945,37887557,bull,golden_cross
2025-08-11,220681.859375,227609.09262892377,220187.05699971973,227114.2902536435,1264837,232383.93984375,233895.0671875,205699.1040625,-0.1044177101549224,40.23358731270099,-3304.096886211337,-2062.124796910729,-1241.9720893006079,246341.48997827995,232383.93984375,218426.38970922006,0.08079747677925482,36622720,bull,golden_cross
2025-08-12,220681.859375,225629.8831278027,220681.859375,221176.66175028027,743541,231072.71328125,234597.6865625,205940.83578125,-0.10621244425313259,40.23358731270099,-3743.760303510411,-2398.4518982306654,-1345.3084052797458,244231.10860460708,231072.71328125,217914.31795789293,0.10516257298465917,37366261,bull,golden_cross
2025-08-13,222661.078125,223650.68291666667,219197.46135416668,223155.88052083334,1017399,229835.7078125,235359.6821875,206183.600703125,-0.0999999621060833,42.254115760637475,-3887.6756127502886,-2696.29664113459,-1191.3789716156984,241142.78278814105,229835.7078125,218528.63283685897,0.18273714895512766,38383660,bull,golden_cross
2025-08-14,222166.265625,231072.7083449332,221671.4632516704,226124.68461163697,1165222,228895.5828125,236131.57375,206423.8915625,-0.07802878498062604,41.87298565296042,-3995.5979990464984,-2956.156912716972,-1039.4410863295266,239444.97511179632,228895.5828125,218346.1905132037,0.18105664304715974,37218438,bull,golden_cross
