Date,sma111,sma350x2
2022-10-18,20945.780810106982,69720.61388392857
2022-10-19,20939.96827491554,69470.15381696429
2022-10-20,20938.025689752252,69227.87672991071
2022-10-21,20937.39697705518,68988.14411830358
2022-10-22,20936.59619580518,68746.31959821428
2022-10-23,20930.611926379504,68496.26256696429
2022-10-24,20923.00343116554,68220.71253348215
2022-10-25,20918.927857545044,67952.84984375
2022-10-26,20911.11572705518,67700.13676339286
2022-10-27,20898.09517525338,67444.91319196428
2022-10-28,20889.11449535473,67195.99553571429
2022-10-29,20888.736363316442,66946.56095982142
2022-10-30,20894.72777660473,66690.38246651785
2022-10-31,20905.285068271398,66444.31333705357
2022-11-01,20907.746322494368,66217.59349330358
2022-11-02,20904.048880912163,65987.83059151786
2022-11-03,20898.406179617115,65777.93260044642
2022-11-04,20898.018018018018,65566.66204241071
2022-11-05,20902.552681587837,65347.15059151786
2022-11-06,20888.505806587837,65131.12779017857
2022-11-07,20863.40114724099,64927.205089285715
2022-11-08,20821.14474239865,64704.18907366072
2022-11-09,20755.524484445385,64473.333956473216
2022-11-10,20709.324421100788,64246.545909598215
2022-11-11,20660.394821579393,64037.77178013393
2022-11-12,20608.052672789978,63820.53810825893
2022-11-13,20562.932529208898,63586.85186941965
2022-11-14,20521.29690139358,63351.48977120536
2022-11-15,20466.829013583898,63122.227985491074
2022-11-16,20402.19435353322,62890.4543359375
2022-11-17,20338.07619826858,62663.08119977679
2022-11-18,20275.387642525337,62452.221378348215
2022-11-19,20215.699808206646,62266.569056919645
2022-11-20,20152.43523894989,62077.5575390625
2022-11-21,20087.652959600226,61878.72702008929
2022-11-22,20027.682344453828,61681.52521205357
2022-11-23,19973.44585796734,61487.844698660716
2022-11-24,19913.22198761261,61310.315234375
2022-11-25,19855.209037162163,61134.764017857146
2022-11-26,19794.744087837837,60946.774151785714
2022-11-27,19728.39400337838,60754.467243303574
2022-11-28,19665.808452984234,60580.06633928572
2022-11-29,19598.216920045044,60407.679765625
2022-11-30,19537.055092201575,60226.376015625
2022-12-01,19470.06693412162,60050.95719866071
2022-12-02,19403.98217553491,59884.59443080357
2022-12-03,19337.215529983107,59713.505625
2022-12-04,19274.09403153153,59544.49688616071
2022-12-05,19211.855609515766,59373.60859375
2022-12-06,19155.580887528155,59191.62511160714
2022-12-07,19098.242046734234,59010.02291294643
2022-12-08,19065.412514076575,58818.30254464286
2022-12-09,19029.080007742115,58625.793727678574
2022-12-10,18989.391751126128,58435.501529017856
2022-12-11,18950.70062640766,58242.8996875
2022-12-12,18911.76683910473,58051.848370535714
2022-12-13,18879.210972691442,57881.51958705357
2022-12-14,18845.10958614865,57717.92495535714
2022-12-15,18819.027115005632,57547.563470982146
