date,value
2025-04-14,1.785
2025-04-15,1.7453
2025-04-16,1.7642
2025-04-17,1.8018
2025-04-18,1.7781
2025-04-19,1.8068
2025-04-20,1.8041
2025-04-21,1.8999
2025-04-22,2.1616
2025-04-23,2.1621
2025-04-24,2.1637
2025-04-25,2.195
2025-04-26,2.1884
2025-04-27,2.1475
2025-04-28,2.1968
2025-04-29,2.15
2025-04-30,2.1521
2025-05-01,2.2412
2025-05-02,2.2546
2025-05-03,2.2127
2025-05-04,2.1429
2025-05-05,2.1573
2025-05-06,2.23
2025-05-07,2.2451
2025-05-08,2.4923
2025-05-09,2.4797
2025-05-10,2.5457
2025-05-11,2.5155
2025-05-12,2.4647
2025-05-13,2.5084
2025-05-14,2.4787
2025-05-15,2.4772
2025-05-16,2.4652
2025-05-17,2.4458
2025-05-18,2.561
2025-05-19,2.536
2025-05-20,2.583
2025-05-21,2.6926
2025-05-22,2.7583
2025-05-23,2.576
2025-05-24,2.5979
2025-05-25,2.6352
2025-05-26,2.646
2025-05-27,2.6243
2025-05-28,2.569
2025-05-29,2.4725
2025-05-30,2.395
2025-05-31,2.4222
2025-06-01,2.462
2025-06-02,2.4594
2025-06-03,2.4347
2025-06-04,2.3998
2025-06-05,2.2682
2025-06-06,2.3782
2025-06-07,2.4265
2025-06-08,2.4245
2025-06-09,2.6032
2025-06-10,2.5917
2025-06-11,2.5278
2025-06-12,2.4147
2025-06-13,2.4103
2025-06-14,2.3843
2025-06-15,2.3827
2025-06-16,2.4465
2025-06-17,2.3364
2025-06-18,2.3403
2025-06-19,2.3324
2025-06-20,2.2706
2025-06-21,2.1973
2025-06-22,2.1682
2025-06-23,2.35
2025-06-24,2.3638
2025-06-25,2.4125
2025-06-26,2.3938
2025-06-27,2.3899
2025-06-28,2.3974
2025-06-29,2.4339
2025-06-30,2.3777
2025-07-01,2.3102
2025-07-02,2.4403
2025-07-03,2.4626
2025-07-04,2.3794
2025-07-05,2.3827
2025-07-06,2.4166
2025-07-07,2.3735
2025-07-08,2.3955
2025-07-09,2.4855
2025-07-10,2.6562
2025-07-11,2.7155
2025-07-12,2.6991
2025-07-13,2.7536
2025-07-14,2.781
2025-07-15,2.6877
2025-07-16,2.7112
2025-07-17,2.7301
2025-07-18,2.6623
2025-07-19,2.6542
2025-07-20,2.6261
2025-07-21,2.6241
2025-07-22,2.7181
2025-07-23,2.6549
2025-07-24,2.6379
2025-07-25,2.5968
2025-07-26,2.6103
2025-07-27,2.6622
2025-07-28,2.6014
2025-07-29,2.5886
2025-07-30,2.5771
2025-07-31,2.5
2025-08-01,2.3972
2025-08-02,2.3657
2025-08-03,2.4277
2025-08-04,2.4594
2025-08-05,2.4132
2025-08-06,2.4451
2025-08-07,2.5315
2025-08-08,2.4993
2025-08-09,2.4869
2025-08-10,2.5849
2025-08-11,2.5625
2025-08-12,2.6105
2025-08-13,2.7286
2025-08-14,2.5354
2025-08-15,2.4853
2025-08-16,2.4817
2025-08-17,2.4834
2025-08-18,2.4308
2025-08-19,2.297
2025-08-20,2.3458
2025-08-21,2.2698
2025-08-22,2.4314
2025-08-23,2.3707
2025-08-24,2.3015
2025-08-25,2.1701
2025-08-26,2.2346
2025-08-27,2.2074
2025-08-28,2.2489
2025-08-29,2.0892
2025-08-30,2.0967
2025-08-31,2.0785
2025-09-01,2.1008
