Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,state,signal
2021-09-24,64454.48828125,66093.16171212924,64454.48828125,66093.16171212924,1251915,65613.2626953125,66110.32703125,,0.017241446274666172,44.19900988989294,bear,hold
2021-09-27,64064.328125,64610.55260353228,63986.296056638246,64064.328125,944716,65632.7712890625,66019.80984375,,0.006127633218539819,42.59485716389844,bear,hold
2021-09-28,62503.69140625,64220.39703788233,62503.69140625,64064.33288955212,1573235,65558.6412109375,65902.761953125,,-0.023170611918775785,36.835851862483935,bear,hold
2021-09-29,63518.10546875,63518.10546874999,61567.30370373925,61567.30370373925,1955635,65531.330078125,65796.63828125,,-0.008526159131556521,42.297032984799195,bear,hold
2021-09-30,63362.03515625,63752.19547125154,62815.81071524785,62893.84277824815,1071982,65476.707421875,65704.560234375,,-0.01694921725595011,41.699670042097935,bear,hold
2021-10-01,61099.11328125,63284.011329621644,61099.11328125,62893.850963840996,1785166,65211.3986328125,65587.5121875,,-0.07990592099156257,34.165291327746885,bear,hold
2021-10-05,60708.9453125,61099.10562941839,59538.46436174486,59928.62467866324,1810229,64899.2701171875,65442.37234375,,-0.09324016423265247,33.05628108876331,bear,hold
2021-10-06,58289.95703125,61411.239870942096,58289.95703124999,60943.04744498828,2272911,64544.2244140625,65248.852734375,,-0.10859182549074042,27.168151573358315,bear,hold
2021-10-07,62269.58203125,62347.61408893327,58367.979147086466,58446.01120476973,2014911,64306.226171875,65130.24390625,,-0.07101293482748161,44.639194513715225,bear,hold
2021-10-08,63908.2578125,64298.418116605615,62269.58453525641,62971.87308264652,2260287,64138.45703125,65060.015,,-0.04988405000565643,49.96191596325104,bear,hold
2021-10-12,64142.359375,64688.58384656326,63284.00663397202,63830.23110553528,1506018,63990.19609375,65002.27125,,-0.04418604921901281,50.69129105974612,bear,hold
2021-10-13,65702.9921875,65937.08835918944,64454.479271823046,64454.479271823046,2252626,63865.34453125,64967.93703125,,-0.036613348854466765,55.3625188234454,bear,hold
2021-10-14,65624.96875,66561.35355975029,64844.64807520808,66561.35355975029,1492254,63791.2140625,64936.724375,,-0.022093024609506462,55.08157287396293,bear,hold
2021-10-15,65390.87109375,66171.19175119333,64922.67869928401,65702.99935672733,862972,63841.9349609375,64897.708359375,,0.015757593335878672,54.19297233080027,bear,hold
2021-10-18,65702.9921875,65859.05630195963,64142.35104290381,65234.799844121146,1323600,63904.36015625,64907.071953125,,0.01937031756116192,55.230018038819,bear,hold
2021-10-19,65781.0234375,66249.21577513345,65546.92726868327,65859.05549377223,810372,63939.47421875,64900.828984375,,0.01079125420059035,55.50125177590797,bear,hold
2021-10-20,65390.87109375,67029.54447438096,65390.87109375001,65859.063488216,1326165,63958.9822265625,64869.61609375,,0.006002398291076405,53.74790167808167,bear,hold
2021-10-21,65234.8125,66561.35773026316,64922.68421052632,65781.03700657895,1361082,63923.8677734375,64816.55453125,,-0.010650893743552214,53.02630359648485,bear,hold
2021-10-22,65078.7421875,66015.12696717626,64844.64599258094,65312.83838241907,675792,63896.5564453125,64780.6596875,,-0.008323456344503044,52.27050197223932,bear,hold
2021-10-25,65781.0234375,66093.15166258896,64064.31819951067,64844.638762233095,1033710,63900.4580078125,64760.37109375,,0.0011876361700136062,55.35420458395246,bear,hold
2021-10-26,66171.1875,66405.2836821934,65156.770710495286,66249.21956073113,1023323,63986.29296875,64738.52203125,,0.026634285129363056,57.015763382256694,bear,hold
2021-10-27,66327.2578125,67419.70676470589,65937.09747242647,66327.2578125,1589682,64099.439453125,64751.00734375,,0.03532277249649218,57.69402090419832,bear,hold
2021-10-28,67107.578125,68668.21947674418,66795.44985465116,67185.6101925872,3809314,64329.6337890625,64796.26609375,,0.07365783708399731,61.00693426259163,bear,hold
2021-10-29,66405.2890625,68278.0586717832,65624.96839196533,68278.0586717832,1924048,64473.99296875,64772.8565625,,0.04545449793319878,56.70321727415234,bear,hold
2021-11-01,65781.0234375,66639.37605649466,65702.99138122775,66171.18371886121,923058,64594.9423828125,64758.81078125,,0.03817725038794606,53.116229148604475,bear,hold
2021-11-02,67107.578125,67185.6101925872,65312.84057049418,65781.03297601744,1381762,64895.365625,64802.508828125,,0.09833964064407907,59.04505871830235,bear,hold
2021-11-03,66327.2578125,67965.93124080882,66015.12954044118,67965.93124080882,894542,65176.28125,64830.60046875,,0.09254505198664997,54.66585626142457,bear,hold
2021-11-04,67887.890625,68434.1150323276,66717.40975215517,67107.57004310345,1717408,65656.1779296875,64933.602734375,,0.1646584434537226,60.910207639153064,bear,hold
2021-11-05,68668.21875,69760.6676846591,68356.09048295455,68902.3149502841,2934816,65976.109765625,65067.817890625,,0.10275702052309965,63.60927563951927,bear,hold
2021-11-08,68746.25,69448.53859250851,68668.21793416572,69448.53859250851,1519360,66218.009375,65194.22984375,,0.07570214481036475,63.87787178730111,bear,hold
2021-11-09,67887.890625,69370.49973060345,67263.63415948275,68902.30738146552,1253140,66405.2859375,65284.746953125,,0.05839403611741556,58.74168560538192,bear,hold
2021-11-10,66717.40625,67497.72679093567,66327.24597953216,67185.5985745614,1077433,66456.006640625,65345.611953125,,0.015439389116482127,52.538061007289755,bear,hold
