Date,로테이션(금리보정),VOO B&H,phase
2023-10-03,971792.6989755551,1037422.861362922,expansion
2023-10-04,978657.733669432,1045055.1865625551,expansion
2023-10-05,976184.2748336305,1044171.6240588034,expansion
2023-10-06,984908.72201853,1056624.1563202327,expansion
2023-10-09,993849.0772865672,1063667.2428467954,expansion
2023-10-10,998698.9722924677,1069157.0661739768,expansion
2023-10-11,1005206.3469528458,1073682.8649748478,expansion
2023-10-12,998498.548792479,1067228.932691112,expansion
2023-10-13,996767.7388896522,1061605.2029969022,expansion
2023-10-16,1003295.8154237968,1072718.7560182933,expansion
2023-10-17,1001779.007874964,1072745.435975406,expansion
2023-10-18,991521.0681861491,1058391.5346184685,expansion
2023-10-19,982874.6151014715,1049420.2301787972,recovery
2023-10-20,974433.3163373261,1036351.8637174282,recovery
2023-10-23,972417.8509542735,1034530.7877839906,recovery
2023-10-24,980438.0993167431,1042270.0861028072,expansion
2023-10-25,964287.6630875636,1027568.0788497427,recovery
2023-10-26,959142.175019831,1014954.7069734401,recovery
2023-10-27,956503.0819129165,1010455.7569901699,recovery
2023-10-30,960397.5343481523,1022613.712130186,expansion
2023-10-31,964061.666567883,1028800.0005403536,expansion
2023-11-01,975297.1373731875,1040127.8375210875,expansion
2023-11-02,993758.3243036888,1059891.269043136,expansion
2023-11-03,1005558.1217734893,1069692.6072118457,expansion
2023-11-06,1004076.0666522635,1071754.647061739,expansion
2023-11-07,1007069.9222391378,1074780.8802984306,expansion
2023-11-08,1007796.5499770709,1075664.5272324265,expansion
2023-11-09,1000156.4068623234,1067550.274199882,expansion
2023-11-10,1016903.0388228104,1084207.1793231682,expansion
2023-11-13,1014320.761552817,1083109.3328600738,expansion
2023-11-14,1037276.7776394952,1103917.1665007474,expansion
2023-11-15,1039664.6150718633,1106327.4811072554,expansion
2023-11-16,1041466.6989032654,1107880.7443066365,expansion
2023-11-17,1044832.1187187247,1109514.2162378442,expansion
2023-11-20,1052997.6137669845,1117869.517617088,expansion
2023-11-21,1048011.5924165379,1114950.5107903117,expansion
