Date,SOXX,466950.KS,469170.KS
2024-09-04,1281457.7432276548,1273378.7232235714,1155428.7102259526
2024-09-05,1278510.7461035904,1271738.848793536,1143596.9367619625
2024-09-06,1255298.400415748,1255835.3191786876,1119487.4044340958
2024-09-09,1269931.0733472144,1263319.739813415,1125488.9294137855
2024-09-10,1276451.9612530416,1271225.0231277794,1128102.6909014445
2024-09-11,1292611.6933586956,1277356.9107519207,1141378.7080811656
2024-09-12,1298707.9826915832,1296083.9861567083,1159188.1245001678
2024-09-13,1309486.0069534734,1302035.4346150565,1168270.278602254
2024-09-19,1326790.1615458396,1319711.9856267385,1179961.3847082118
2024-09-20,1321985.9335992546,1321955.405813842,1179952.786338324
2024-09-23,1325513.8796770675,1329102.5123257206,1186419.4749917197
2024-09-24,1332335.4785666307,1334408.515626173,1194734.4640662444
2024-09-25,1329670.1405366869,1330161.6272853592,1189336.8591240875
2024-09-26,1343081.6628497555,1342263.703530566,1197713.5872560893
2024-09-27,1338748.7584440422,1339898.0002443988,1200274.7306794596
2024-09-30,1338443.062615377,1336616.9338092192,1198400.481397187
2024-10-02,1329336.1137181662,1329629.6317602934,1189979.633055917
2024-10-04,1336316.0275280692,1342365.516881863,1187285.6707730163
2024-10-07,1327636.4412359055,1340129.7884791882,1189241.8317891003
2024-10-08,1335634.3963240844,1344811.1239053977,1193460.3845144801
2024-10-10,1340110.1093340984,1351671.2581483205,1193872.3865903234
2024-10-11,1349263.5520084617,1358512.949301246,1195381.6117759184
2024-10-14,1360720.868065766,1367617.970733935,1198670.3549861659
2024-10-15,1341864.130842242,1367145.0682956895,1188766.038169563
2024-10-16,1347156.4207118517,1367104.4955254085,1191099.5657739583
2024-10-17,1348379.6219587433,1371459.997109109,1188462.1052540445
2024-10-18,1352530.2494978292,1378480.5405098605,1188812.5692243886
2024-10-21,1346963.9423443296,1372875.348035247,1185205.9532740165
2024-10-22,1345971.4981797074,1375176.9279125845,1176886.4316196467
2024-10-23,1335372.9713803506,1365792.3145298213,1176572.426820935
2024-10-24,1340244.6597867892,1366424.608549456,1176464.17324224
2024-10-25,1341182.5144605546,1366798.375159597,1172870.7738024122
2024-10-28,1344229.061134598,1371788.4567011946,1185626.2810207962
2024-10-29,1351939.7177043022,1373778.7588344805,1186217.5424382992
2024-10-31,1316660.6863219948,1353661.2886573877,1165841.5202105835
2024-11-01,1316874.0473863415,1348210.8735265536,1163968.0093789904
2024-11-04,1318055.2313054502,1351029.2139737369,1175656.1196656919
2024-11-06,1341076.897607912,1374054.539007191,1173942.539814541
2024-11-07,1355441.6772072488,1391862.3390169714,1181973.5069121923
2024-11-08,1358173.4937968887,1398043.172349875,1184830.9615427698
2024-11-11,1347205.121502507,1395807.604108524,1174969.2146878988
2024-11-12,1336875.1497946114,1392050.2920869673,1164921.320879373
2024-11-13,1328834.7363305723,1382687.0853084673,1153453.4827124437
